record_id,year,month,report_date,geo_level,location_name,region_id,sector,commodity,sub_item,variety,attribute,value,unit,data_type,source_file
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M1,2008,1,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M1_DERIVED_OUT,2008,1,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M2,2008,2,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M2_DERIVED_OUT,2008,2,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M3,2008,3,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M3_DERIVED_OUT,2008,3,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M4,2008,4,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M4_DERIVED_OUT,2008,4,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M5,2008,5,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M5_DERIVED_OUT,2008,5,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M6,2008,6,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M6_DERIVED_OUT,2008,6,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M7,2008,7,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M7_DERIVED_OUT,2008,7,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M8,2008,8,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M8_DERIVED_OUT,2008,8,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M9,2008,9,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M9_DERIVED_OUT,2008,9,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M10,2008,10,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M10_DERIVED_OUT,2008,10,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M11,2008,11,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M11_DERIVED_OUT,2008,11,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M12,2008,12,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hà_Nội_M12_DERIVED_OUT,2008,12,2008-12-15,Provincial,Hà Nội,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hải_Phòng_M1,2008,1,2008-12-15,Provincial,Hải Phòng,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hải_Phòng_M1_DERIVED_OUT,2008,1,2008-12-15,Provincial,Hải Phòng,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hải_Phòng_M2,2008,2,2008-12-15,Provincial,Hải Phòng,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hải_Phòng_M2_DERIVED_OUT,2008,2,2008-12-15,Provincial,Hải Phòng,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hải_Phòng_M3,2008,3,2008-12-15,Provincial,Hải Phòng,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hải_Phòng_M3_DERIVED_OUT,2008,3,2008-12-15,Provincial,Hải Phòng,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hải_Phòng_M4,2008,4,2008-12-15,Provincial,Hải Phòng,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hải_Phòng_M4_DERIVED_OUT,2008,4,2008-12-15,Provincial,Hải Phòng,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hải_Phòng_M5,2008,5,2008-12-15,Provincial,Hải Phòng,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hải_Phòng_M5_DERIVED_OUT,2008,5,2008-12-15,Provincial,Hải Phòng,,Cultivation,Lúa,Cả năm,,Output,645996.8253968254,ton,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_Hải_Phòng_M6,2008,6,2008-12-15,Provincial,Hải Phòng,,Cultivation,Lúa,Cả năm,,Area,117453.96825396825,ha,Actual,Phuluc_12_2008.md
