record_id,year,month,report_date,geo_level,location_name,region_id,sector,commodity,sub_item,variety,attribute,value,unit,data_type,source_file
2008_12_TQ_LUA_AREA_ACTUAL_M1,2008,1,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Area,7399600.0,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_M2,2008,2,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Area,7399600.0,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_M3,2008,3,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Area,7399600.0,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_M4,2008,4,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Area,7399600.0,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_M5,2008,5,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Area,7399600.0,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_M6,2008,6,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Area,7399600.0,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_M7,2008,7,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Area,7399600.0,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_M8,2008,8,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Area,7399600.0,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_M9,2008,9,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Area,7399600.0,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_M10,2008,10,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Area,7399600.0,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_M11,2008,11,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Area,7399600.0,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_AREA_ACTUAL_M12,2008,12,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Area,7399600.0,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_YIELD_ACTUAL_M1,2008,1,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Yield,5.22,ton/ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_YIELD_ACTUAL_M2,2008,2,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Yield,5.22,ton/ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_YIELD_ACTUAL_M3,2008,3,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Yield,5.22,ton/ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_YIELD_ACTUAL_M4,2008,4,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Yield,5.22,ton/ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_YIELD_ACTUAL_M5,2008,5,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Yield,5.22,ton/ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_YIELD_ACTUAL_M6,2008,6,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Yield,5.22,ton/ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_YIELD_ACTUAL_M7,2008,7,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Yield,5.22,ton/ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_YIELD_ACTUAL_M8,2008,8,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Yield,5.22,ton/ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_YIELD_ACTUAL_M9,2008,9,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Yield,5.22,ton/ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_YIELD_ACTUAL_M10,2008,10,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Yield,5.22,ton/ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_YIELD_ACTUAL_M11,2008,11,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Yield,5.22,ton/ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_YIELD_ACTUAL_M12,2008,12,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Yield,5.22,ton/ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_OUTPUT_ACTUAL_M1,2008,1,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Output,3219208.3333333335,ton,Estimated,Phuluc_12_2008.md
2008_12_TQ_LUA_OUTPUT_ACTUAL_M2,2008,2,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Output,3219208.3333333335,ton,Estimated,Phuluc_12_2008.md
2008_12_TQ_LUA_OUTPUT_ACTUAL_M3,2008,3,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Output,3219208.3333333335,ton,Estimated,Phuluc_12_2008.md
2008_12_TQ_LUA_OUTPUT_ACTUAL_M4,2008,4,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Output,3219208.3333333335,ton,Estimated,Phuluc_12_2008.md
2008_12_TQ_LUA_OUTPUT_ACTUAL_M5,2008,5,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Output,3219208.3333333335,ton,Estimated,Phuluc_12_2008.md
2008_12_TQ_LUA_OUTPUT_ACTUAL_M6,2008,6,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Output,3219208.3333333335,ton,Estimated,Phuluc_12_2008.md
2008_12_TQ_LUA_OUTPUT_ACTUAL_M7,2008,7,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Output,3219208.3333333335,ton,Estimated,Phuluc_12_2008.md
2008_12_TQ_LUA_OUTPUT_ACTUAL_M8,2008,8,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Output,3219208.3333333335,ton,Estimated,Phuluc_12_2008.md
2008_12_TQ_LUA_OUTPUT_ACTUAL_M9,2008,9,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Output,3219208.3333333335,ton,Estimated,Phuluc_12_2008.md
2008_12_TQ_LUA_OUTPUT_ACTUAL_M10,2008,10,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Output,3219208.3333333335,ton,Estimated,Phuluc_12_2008.md
2008_12_TQ_LUA_OUTPUT_ACTUAL_M11,2008,11,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Output,3219208.3333333335,ton,Estimated,Phuluc_12_2008.md
2008_12_TQ_LUA_OUTPUT_ACTUAL_M12,2008,12,2008-12-15,National,Cả nước,,Cultivation,Lúa,Cả năm,,Output,3219208.3333333335,ton,Estimated,Phuluc_12_2008.md
2008_12_MB_NGO_AREA_ACTUAL_Lào_Cai_M1,2008,1,2008-12-15,Provincial,Lào Cai,Northern,Cultivation,Ngô,Vụ Đông,,Area,12191.42857142857,ha,Actual,Phuluc_12_2008.md
2008_12_MB_NGO_AREA_ACTUAL_Lào_Cai_M2,2008,2,2008-12-15,Provincial,Lào Cai,Northern,Cultivation,Ngô,Vụ Đông,,Area,12191.42857142857,ha,Actual,Phuluc_12_2008.md
2008_12_MB_NGO_AREA_ACTUAL_Lào_Cai_M3,2008,3,2008-12-15,Provincial,Lào Cai,Northern,Cultivation,Ngô,Vụ Đông,,Area,12191.42857142857,ha,Actual,Phuluc_12_2008.md
2008_12_MB_NGO_AREA_ACTUAL_Lào_Cai_M4,2008,4,2008-12-15,Provincial,Lào Cai,Northern,Cultivation,Ngô,Vụ Đông,,Area,12191.42857142857,ha,Actual,Phuluc_12_2008.md
2008_12_MB_NGO_AREA_ACTUAL_Lào_Cai_M5,2008,5,2008-12-15,Provincial,Lào Cai,Northern,Cultivation,Ngô,Vụ Đông,,Area,12191.42857142857,ha,Actual,Phuluc_12_2008.md
2008_12_MB_NGO_AREA_ACTUAL_Lào_Cai_M6,2008,6,2008-12-15,Provincial,Lào Cai,Northern,Cultivation,Ngô,Vụ Đông,,Area,12191.42857142857,ha,Actual,Phuluc_12_2008.md
2008_12_MB_NGO_AREA_ACTUAL_Lào_Cai_M7,2008,7,2008-12-15,Provincial,Lào Cai,Northern,Cultivation,Ngô,Vụ Đông,,Area,12191.42857142857,ha,Actual,Phuluc_12_2008.md
2008_12_MB_NGO_AREA_ACTUAL_Lào_Cai_M8,2008,8,2008-12-15,Provincial,Lào Cai,Northern,Cultivation,Ngô,Vụ Đông,,Area,12191.42857142857,ha,Actual,Phuluc_12_2008.md
2008_12_MB_NGO_AREA_ACTUAL_Lào_Cai_M9,2008,9,2008-12-15,Provincial,Lào Cai,Northern,Cultivation,Ngô,Vụ Đông,,Area,12191.42857142857,ha,Actual,Phuluc_12_2008.md
2008_12_MB_NGO_AREA_ACTUAL_Lào_Cai_M10,2008,10,2008-12-15,Provincial,Lào Cai,Northern,Cultivation,Ngô,Vụ Đông,,Area,12191.42857142857,ha,Actual,Phuluc_12_2008.md
2008_12_MB_NGO_AREA_ACTUAL_Lào_Cai_M11,2008,11,2008-12-15,Provincial,Lào Cai,Northern,Cultivation,Ngô,Vụ Đông,,Area,12191.42857142857,ha,Actual,Phuluc_12_2008.md
