Year,Month,Appendix,Total_Records,Error_Records,Error_Rate_%,Most_Common_Error,Most_Common_Count
2012,12,PL9,38,38,100.0,space_in_word,38
2008,2,PL1,10,10,100.0,typo_spacing,10
2008,3,PL1,13,13,100.0,typo_spacing,13
2008,4,PL1,9,9,100.0,typo_spacing,9
2008,5,PL1,13,13,100.0,typo_spacing,13
2012,11,PL1,8,8,100.0,space_in_word,8
2012,10,PL9c,5,5,100.0,space_in_word,5
2012,10,PL9b,29,29,100.0,space_in_word,29
2012,10,PL9a,10,10,100.0,space_in_word,10
2012,10,PL6,16,16,100.0,space_in_word,16
2012,10,PL4,248,248,100.0,space_in_word,248
2012,10,PL3,259,259,100.0,space_in_word,259
2012,10,PL2,215,215,100.0,space_in_word,215
2012,10,PL1,9,9,100.0,typo_spacing,9
2012,9,PL9,41,41,100.0,space_in_word,41
2012,9,PL6,16,16,100.0,space_in_word,16
2012,9,PL5,241,241,100.0,space_in_word,241
2012,9,PL4,194,194,100.0,space_in_word,194
2012,9,PL3,195,195,100.0,space_in_word,195
2012,9,PL2,218,218,100.0,space_in_word,218
2012,9,PL1,12,12,100.0,typo_spacing,12
2009,5,PL1,17,17,100.0,typo_spacing,17
2009,4,PL9,25,25,100.0,space_in_word,25
2009,4,PL6,18,18,100.0,space_in_word,18
2009,4,PL5,199,199,100.0,space_in_word,199
2009,4,PL4,243,243,100.0,space_in_word,243
2009,4,PL2,213,213,100.0,space_in_word,213
2009,4,PL1,10,10,100.0,typo_spacing,10
2009,3,PL9,26,26,100.0,space_in_word,26
2009,3,PL6,18,18,100.0,space_in_word,18
2009,3,PL5,196,196,100.0,space_in_word,196
2009,3,PL4,185,185,100.0,space_in_word,185
2009,3,PL3,153,153,100.0,space_in_word,153
2009,3,PL2,152,152,100.0,space_in_word,152
2009,3,PL1,13,13,100.0,typo_spacing,13
2009,2,PL9,26,26,100.0,space_in_word,26
2009,2,PL6,15,15,100.0,space_in_word,15
2009,7,PL2,180,180,100.0,space_in_word,180
2009,7,PL1,12,12,100.0,typo_spacing,12
2009,6,PL9,35,35,100.0,space_in_word,35
2009,6,PL6b1,18,18,100.0,space_in_word,18
2009,6,PL5,225,225,100.0,space_in_word,225
2009,6,PL4,277,277,100.0,space_in_word,277
2009,6,PL3,168,168,100.0,space_in_word,168
2009,6,PL2,252,252,100.0,space_in_word,252
2009,6,PL1,14,14,100.0,typo_spacing,14
