year,month,appendix_number,location_name,sector,commodity,sub_item,attribute,value,error_number_prefix,error_plus_prefix,error_minus_prefix,error_bullet_prefix,error_number_suffix,error_number_in_middle,error_empty_parens,error_unclosed_parens,error_leading_space,error_trailing_space,error_multiple_spaces,error_space_in_word,error_concatenated_locations,error_special_chars,error_unicode_issues,error_only_numbers,error_single_char,error_typo_spacing,error_contains_metadata,error_location_list,error_types
2008,2,PL1,+ Miền Nam,Cultivation,Unknown,,Area_Planted,17565,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,"plus_prefix, space_in_word, typo_spacing"
2008,2,PL1,- Khoai lang,Cultivation,Khoai lang,,Area_Planted,795,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,"minus_prefix, space_in_word, typo_spacing"
2008,2,PL1,- Lạc,Cultivation,Lạc,,Area_Planted,797,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"minus_prefix, typo_spacing"
2008,2,PL1,- Sắn,Cultivation,Sắn,,Area_Planted,502,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"minus_prefix, typo_spacing"
2008,2,PL1,- Vùng Duyên hải Bắc Trung bộ,Cultivation,Unknown,,Area_Planted,2705,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,"minus_prefix, space_in_word, typo_spacing, location_list"
2008,2,PL1,1. Gieo cấy lúa đông xuân cả nước,Cultivation,Lúa,Đông Xuân,Area_Planted,21805,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,"number_prefix, space_in_word, typo_spacing, location_list"
2008,2,PL1,2. Thu hoạch lúa đông xuân ở miền Nam,Cultivation,Lúa,Đông Xuân,Area_Harvested,2567,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,"number_prefix, space_in_word, typo_spacing, location_list"
2008,2,PL1,3. Gieo trồng màu lương thực(),Cultivation,Màu lương thực,,Area_Planted,3980,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,"number_prefix, empty_parens, space_in_word, typo_spacing"
2008,2,PL1,4. Gieo trồng cây công nghiệp ngắn ngày(,Cultivation,Cây công nghiệp ngắn ngày,,Area_Planted,1803,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,"number_prefix, unclosed_parens, space_in_word, typo_spacing, location_list"
2008,2,PL1,"5. Gieo trồng rau, đậu các loại()",Cultivation,Rau đậu,,Area_Planted,3067,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,"number_prefix, empty_parens, space_in_word, typo_spacing"
