year,month,appendix_number,location_name,sector,commodity,error_number_prefix,error_empty_parens,error_unclosed_parens,error_leading_space,error_trailing_space,error_multiple_spaces
2008,2,PL1,1. Gieo cấy lúa đông xuân cả nước,Cultivation,Lúa,True,False,False,False,False,False
2009,2,PL1,1. Gieo cấy lúa đông xuân cả nước,Cultivation,Lúa,True,False,False,False,False,False
2008,2,PL1,2. Thu hoạch lúa đông xuân ở miền Nam,Cultivation,Lúa,True,False,False,False,False,False
2009,2,PL1,2. Thu hoạch lúa đông xuân ở miền Nam,Cultivation,Lúa,True,False,False,False,False,False
2008,2,PL1,3. Gieo trồng màu lương thực(),Cultivation,Màu lương thực,True,True,False,False,False,False
2009,2,PL1,3. Gieo trồng màu lương thực(),Cultivation,Màu lương thực,True,True,False,False,False,False
2008,2,PL1,4. Gieo trồng cây công nghiệp ngắn ngày(,Cultivation,Cây công nghiệp ngắn ngày,True,False,True,False,False,False
2009,2,PL1,4. Gieo trồng cây công nghiệp ngắn ngày(,Cultivation,Cây công nghiệp ngắn ngày,True,False,True,False,False,False
2008,2,PL1,"5. Gieo trồng rau, đậu các loại()",Cultivation,Rau đậu,True,True,False,False,False,False
2009,2,PL1,"5. Gieo trồng rau, đậu các loại()",Cultivation,Rau đậu,True,True,False,False,False,False
2008,3,PL1,1. Gieo cấy lúa đông xuân cả nước,Cultivation,Lúa,True,False,False,False,False,False
2009,3,PL1,1. Gieo cấy lúa đông xuân cả nước,Cultivation,Lúa,True,False,False,False,False,False
2008,3,PL1,2. Thu hoạch lúa đông xuân miền Nam,Cultivation,Lúa,True,False,False,False,False,False
2009,3,PL1,2. Thu hoạch lúa đông xuân miền Nam,Cultivation,Lúa,True,False,False,False,False,False
2008,3,PL1,3. Gieo cấy lúa hè thu ở ĐBSCL,Cultivation,Unknown,True,False,False,False,False,False
2009,3,PL1,3. Gieo cấy lúa hè thu ở ĐBSCL,Cultivation,Unknown,True,False,False,False,False,False
2008,3,PL1,4. Gieo trồng màu(*),Cultivation,Unknown,True,False,False,False,False,False
2009,3,PL1,4. Gieo trồng màu(*),Cultivation,Unknown,True,False,False,False,False,False
2008,3,PL1,5. Gieo trồng cây công nghiệp ngắn ngày(*),Cultivation,Cây công nghiệp ngắn ngày,True,False,False,False,False,False
2009,3,PL1,5. Gieo trồng cây công nghiệp ngắn ngày(*),Cultivation,Cây công nghiệp ngắn ngày,True,False,False,False,False,False
2008,3,PL1,"6. Gieo trồng rau, đậu các loại(*)",Cultivation,Rau đậu,True,False,False,False,False,False
2009,3,PL1,"6. Gieo trồng rau, đậu các loại(*)",Cultivation,Rau đậu,True,False,False,False,False,False
2008,4,PL1,1. Gieo cấy lúa hè thu miền Nam,Cultivation,Unknown,True,False,False,False,False,False
2008,4,PL1,2. Thu hoạch lúa đông xuân miền Nam,Cultivation,Lúa,True,False,False,False,False,False
2009,4,PL1,2. Thu hoạch lúa đông xuân miền Nam,Cultivation,Lúa,True,False,False,False,False,False
2008,4,PL1,-  Khoai lang,Cultivation,Khoai lang,False,False,False,False,False,True
