year,month,location_name,sector,commodity,attribute,source_file,appendix_number,error_type,error_detail,impacted_value,record_id
2009,2,Bắc Trung Bộ,Cultivation,Lúa,Area_Planted,2009_02.md,PL2,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(321.203), np.float64(321.2)]",321.203,c0d1e2f3-a4b5-6c7d-8e9f-0a1b2c3d4e5b
2009,2,Bắc Trung Bộ,Cultivation,Lúa,Area_Planted,2010_02_PhuLuc_T02_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(321.203), np.float64(321.2)]",321.2,2a79cd65-6bb2-4fca-a598-6b236ba67b7e
2009,2,Cả nước,Trade,D A P,Import_Value,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(41.0), np.float64(50.0)]",41.0,6198b2f4-232e-4e83-bf11-e31a7c646060
2009,2,Cả nước,Trade,D A P,Import_Value,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(41.0), np.float64(50.0)]",50.0,b19267c0-aa98-4705-948f-5d8bbfe7b9c3
2009,2,Cả nước,Trade,D A P,Import_Volume,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(111.0), np.float64(134.0)]",111.0,08a694fa-ff25-4c72-895b-5e6c73fc1e0a
2009,2,Cả nước,Trade,D A P,Import_Volume,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(111.0), np.float64(134.0)]",134.0,45918f0c-f99f-49e3-8a6e-986963e1577a
2009,2,Cả nước,Trade,N P K,Import_Value,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(9.0), np.float64(13.0)]",9.0,2d4b5359-a6bf-4002-a395-6930f1c89870
2009,2,Cả nước,Trade,N P K,Import_Value,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(9.0), np.float64(13.0)]",13.0,21807aa1-ee33-44dc-92e7-c6594fa937f7
2009,2,Cả nước,Trade,N P K,Import_Volume,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(24.0), np.float64(34.0)]",24.0,23bb22aa-2cb1-473c-978f-5ca978a68541
2009,2,Cả nước,Trade,N P K,Import_Volume,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(24.0), np.float64(34.0)]",34.0,d42b6e08-3b02-48a0-a9c9-8e58e31d8d72
2009,2,Cả nước,Trade,Phân bón các loại khác,Import_Value,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(7.0), np.float64(8.0)]",7.0,69ee7a75-3763-4514-867e-26fa3eddf994
2009,2,Cả nước,Trade,Phân bón các loại khác,Import_Value,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(7.0), np.float64(8.0)]",8.0,b9df0bb8-517a-4a4b-a5bc-0aeee3574194
2009,2,Cả nước,Trade,Phân bón các loại khác,Import_Volume,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(12.0), np.float64(14.0)]",12.0,696b9de4-2be7-49e7-8cbc-df144d472991
2009,2,Cả nước,Trade,Phân bón các loại khác,Import_Volume,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(12.0), np.float64(14.0)]",14.0,8020397f-caaa-4801-ac04-0adb67739167
2009,2,Cả nước,Trade,S A,Import_Value,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(6.0), np.float64(8.0)]",6.0,c92dd6fe-2af0-4a0b-ba39-cea55ee593a0
2009,2,Cả nước,Trade,S A,Import_Value,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(6.0), np.float64(8.0)]",8.0,a97453ae-465f-4eff-bf41-086d6b9daf9b
2009,2,Cả nước,Trade,S A,Import_Volume,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(51.0), np.float64(72.0)]",51.0,3cffc72c-520a-4374-85c5-5472b58a8a4d
2009,2,Cả nước,Trade,S A,Import_Volume,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(51.0), np.float64(72.0)]",72.0,480fd865-fedf-417f-8702-0528e92b39aa
2009,2,Cả nước,Trade,U RE,Import_Value,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(22.0), np.float64(37.0)]",22.0,292bc5b9-bdae-4273-a700-1382b63b73fd
2009,2,Cả nước,Trade,U RE,Import_Value,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(22.0), np.float64(37.0)]",37.0,9617d7ff-8c9e-4fb0-b376-f07f4cac09f6
2009,2,Cả nước,Trade,U RE,Import_Volume,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(76.0), np.float64(128.0)]",76.0,7d24a348-3f08-42bb-8422-597e80c16719
2009,2,Cả nước,Trade,U RE,Import_Volume,2009_02_PHULUC_t02_2009_FINAL_PL8.md,PL8,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(76.0), np.float64(128.0)]",128.0,7f3351bc-e4c3-4a8b-85f3-f633e42bf3eb
2009,2,Miền Bắc,Cultivation,Lúa,Area_Planted,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(933.6), np.float64(933.587)]",933.6,b1c2d3e4-f5a6-7b8c-9d0e-1f2a3b4c5d6e
