year,month,location_name,commodity,sub_item,Area,Export_Value,Export_Volume,Output,Yield
2008,11,An Giang,Gạo,Philippines,,1175716000.0,1687449.0,,
2008,12,An Giang,Lúa,Đông Xuân,56987.0,,,,
2008,12,Cả nước,Gỗ,Khai thác,,,,3512300.0,
2008,12,Cả nước,Lúa,Cả năm,7399600.0,,,38630500.0,5.22
2008,12,Cả nước,Rừng,Trồng mới tập trung,234182.0,,,,
2008,12,Cả nước,Thủy sản,Cá tra_basa,,,,617106.0,
2008,12,Cả nước,Thủy sản,Tổng số,,,,4582000.0,
2008,12,Hà Nội,Ngô,Vụ Đông,12025.0,,,,
2008,12,Hải Phòng,Ngô,Vụ Đông,1575.0,,,,
2008,12,Miền Bắc,Khoai lang,Vụ Đông,62918.0,,,,
2008,12,Miền Bắc,Ngô,Vụ Đông,170680.0,,,,
2008,12,Vĩnh Phúc,Ngô,Vụ Đông,15418.0,,,,
2008,12,Đồng Tháp,Lúa,Đông Xuân,99294.0,,,,
2008,12,Đồng bằng sông Cửu Long,Lúa,Đông Xuân,898800.0,,,,
