record_id,year,month,report_date,geo_level,location_name,region_id,sector,commodity,sub_item,variety,attribute,value,unit,data_type,source_file
2008_12_TQ_LUA_AREA_ACTUAL,2008,12,2008-12-15,National,Cả nước,NA,Cultivation,Lúa,Cả năm,NA,Area,7399600.0,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_YIELD_ACTUAL,2008,12,2008-12-15,National,Cả nước,NA,Cultivation,Lúa,Cả năm,NA,Yield,5.22,ton/ha,Actual,Phuluc_12_2008.md
2008_12_TQ_LUA_OUTPUT_ACTUAL,2008,12,2008-12-15,National,Cả nước,NA,Cultivation,Lúa,Cả năm,NA,Output,38630500.0,ton,Actual,Phuluc_12_2008.md
2008_12_MB_NGO_AREA_ACTUAL,2008,12,2008-12-15,Regional,Miền Bắc,Northern,Cultivation,Ngô,Vụ Đông,NA,Area,170680.0,ha,Actual,Phuluc_12_2008.md
2008_12_MB_KHOAILANG_AREA_ACTUAL,2008,12,2008-12-15,Regional,Miền Bắc,Northern,Cultivation,Khoai lang,Vụ Đông,NA,Area,62918.0,ha,Actual,Phuluc_12_2008.md
2008_12_HN_NGO_AREA_ACTUAL,2008,12,2008-12-15,Provincial,Hà Nội,Red_River_Delta,Cultivation,Ngô,Vụ Đông,NA,Area,12025.0,ha,Actual,Phuluc_12_2008.md
2008_12_HP_NGO_AREA_ACTUAL,2008,12,2008-12-15,Provincial,Hải Phòng,Red_River_Delta,Cultivation,Ngô,Vụ Đông,NA,Area,1575.0,ha,Actual,Phuluc_12_2008.md
2008_12_VP_NGO_AREA_ACTUAL,2008,12,2008-12-15,Provincial,Vĩnh Phúc,Red_River_Delta,Cultivation,Ngô,Vụ Đông,NA,Area,15418.0,ha,Actual,Phuluc_12_2008.md
2008_12_DBSCL_LUADX_AREA_ACTUAL,2008,12,2008-12-15,Regional,Đồng bằng sông Cửu Long,Mekong_Delta,Cultivation,Lúa,Đông Xuân,NA,Area,898800.0,ha,Actual,Phuluc_12_2008.md
2008_12_AG_LUADX_AREA_ACTUAL,2008,12,2008-12-15,Provincial,An Giang,Mekong_Delta,Cultivation,Lúa,Đông Xuân,NA,Area,56987.0,ha,Actual,Phuluc_12_2008.md
2008_12_DT_LUADX_AREA_ACTUAL,2008,12,2008-12-15,Provincial,Đồng Tháp,Mekong_Delta,Cultivation,Lúa,Đông Xuân,NA,Area,99294.0,ha,Actual,Phuluc_12_2008.md
2008_12_TQ_TRAU_HEADCOUNT_EST,2008,12,2008-12-31,National,Cả nước,NA,Livestock,Trâu,NA,NA,Headcount,2897734.0,heads,Estimated,Phuluc_12_2008.md
2008_12_TQ_BO_HEADCOUNT_EST,2008,12,2008-12-31,National,Cả nước,NA,Livestock,Bò,NA,NA,Headcount,6337746.0,heads,Estimated,Phuluc_12_2008.md
2008_12_TQ_LON_HEADCOUNT_EST,2008,12,2008-12-31,National,Cả nước,NA,Livestock,Lợn,NA,NA,Headcount,26701598.0,heads,Estimated,Phuluc_12_2008.md
2008_12_TQ_GIACAM_HEADCOUNT_EST,2008,12,2008-12-31,National,Cả nước,NA,Livestock,Gia cầm,NA,NA,Headcount,247320100.0,heads,Estimated,Phuluc_12_2008.md
2008_12_TQ_FISHERY_OUTPUT_EST,2008,12,2008-12-31,National,Cả nước,NA,Fishery,Thủy sản,Tổng số,NA,Output,4582000.0,ton,Estimated,Phuluc_12_2008.md
2008_12_TQ_CATRA_OUTPUT_EST,2008,12,2008-12-31,National,Cả nước,NA,Fishery,Thủy sản,Cá tra_basa,NA,Output,617106.0,ton,Estimated,Phuluc_12_2008.md
2008_12_TQ_EXPORT_GAO_VOL_EST,2008,12,2008-12-31,National,Cả nước,NA,Trade,Gạo,NA,NA,Export_Volume,4670000.0,ton,Estimated,Phuluc_12_2008.md
2008_12_TQ_EXPORT_GAO_VAL_EST,2008,12,2008-12-31,National,Cả nước,NA,Trade,Gạo,NA,NA,Export_Value,2869000000.0,USD,Estimated,Phuluc_12_2008.md
2008_12_TQ_EXPORT_CAPHE_VAL_EST,2008,12,2008-12-31,National,Cả nước,NA,Trade,Cà phê,NA,NA,Export_Value,2003000000.0,USD,Estimated,Phuluc_12_2008.md
2008_11_AG_EXPORT_GAO_VOL_CUM,2008,11,2008-11-30,Provincial,An Giang,Mekong_Delta,Trade,Gạo,Philippines,NA,Export_Volume,1687449.0,ton,Cumulative,Phuluc_12_2008.md
2008_11_AG_EXPORT_GAO_VAL_CUM,2008,11,2008-11-30,Provincial,An Giang,Mekong_Delta,Trade,Gạo,Philippines,NA,Export_Value,1175716000.0,USD,Cumulative,Phuluc_12_2008.md
2008_12_TQ_FORESTRY_PLANT_AREA_EST,2008,12,2008-12-22,National,Cả nước,NA,Forestry,Rừng,Trồng mới tập trung,NA,Area,234182.0,ha,Estimated,Phuluc_12_2008.md
2008_12_TQ_FORESTRY_LOGGING_VOL_EST,2008,12,2008-12-22,National,Cả nước,NA,Forestry,Gỗ,Khai thác,NA,Output,3512300.0,m3,Estimated,Phuluc_12_2008.md
