record_id,year,month,geo_level,location_name,region_id,sector,commodity,sub_item,attribute,value,unit,data_type,source_file
200902_Hà Nội_LUA_AREA,2009,2,Provincial,Hà Nội,Red_River_Delta,Cultivation,Lúa,,Area,76.786,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Hà Nội_NGO_AREA,2009,2,Provincial,Hà Nội,Red_River_Delta,Cultivation,Ngô,,Area,6.941,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Hải Phòng_LUA_AREA,2009,2,Provincial,Hải Phòng,Red_River_Delta,Cultivation,Lúa,,Area,39.6,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Vĩnh Phúc_LUA_AREA,2009,2,Provincial,Vĩnh Phúc,Red_River_Delta,Cultivation,Lúa,,Area,26.175,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Vĩnh Phúc_NGO_AREA,2009,2,Provincial,Vĩnh Phúc,Red_River_Delta,Cultivation,Ngô,,Area,2.016,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Bắc Ninh_LUA_AREA,2009,2,Provincial,Bắc Ninh,Red_River_Delta,Cultivation,Lúa,,Area,10.882,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Bắc Ninh_NGO_AREA,2009,2,Provincial,Bắc Ninh,Red_River_Delta,Cultivation,Ngô,,Area,895.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Hải Dương_LUA_AREA,2009,2,Provincial,Hải Dương,Red_River_Delta,Cultivation,Lúa,,Area,62.408,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Hải Dương_NGO_AREA,2009,2,Provincial,Hải Dương,Red_River_Delta,Cultivation,Ngô,,Area,3.5,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Hưng Yên_LUA_AREA,2009,2,Provincial,Hưng Yên,Red_River_Delta,Cultivation,Lúa,,Area,32.163,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Hưng Yên_NGO_AREA,2009,2,Provincial,Hưng Yên,Red_River_Delta,Cultivation,Ngô,,Area,2.715,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Hà Nam_LUA_AREA,2009,2,Provincial,Hà Nam,Red_River_Delta,Cultivation,Lúa,,Area,30.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Hà Nam_NGO_AREA,2009,2,Provincial,Hà Nam,Red_River_Delta,Cultivation,Ngô,,Area,2.5,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Nam Định_LUA_AREA,2009,2,Provincial,Nam Định,Red_River_Delta,Cultivation,Lúa,,Area,67.47,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Nam Định_NGO_AREA,2009,2,Provincial,Nam Định,Red_River_Delta,Cultivation,Ngô,,Area,2.2,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Thái Bình_LUA_AREA,2009,2,Provincial,Thái Bình,Red_River_Delta,Cultivation,Lúa,,Area,63.55,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
